Sr. No.,Round No,Period,City Name,PIN Code,Gender Of Respondent,Age Group,Category of Respondent,Expectations on prices in next 3 months - General,Expectations on prices in next 3 months - Food products,Expectations on prices in next 3 months - Non food products,Expectations on prices in next 3 months - Household durables,Expectations on prices in next 3 months - Housing,Expectations on prices in next 3 months - Services,Expectations on prices in next 1 year - General,Expectations on prices in next 1 year - Food products,Expectations on prices in next 1 year - Non food products,Expectations on prices in next 1 year - Household durables,Expectations on prices in next 1 year - Housing,Expectations on prices in next 1 year - Services,View on Current Inflation Rate,View on Current Inflation Rate - actual rate for above 16%,View on 3 Months ahead Inflation Rate,View on 3 Months ahead Inflation Rate - actual rate for above 16%,View on 1 Year ahead Inflation Rate,View on 1 Year ahead Inflation Rate - actual rate for above 16%,City_Tier,Respondent_Category,Numeric_Rate,Modified View on Current Inflation Rate
4280,39,Mar-2015,Mumbai,400073,Female,Up to 25 years,Homemaker,No change in prices,No change in prices,No change in prices,No change in prices,Decline in price,No change in prices,No change in prices,Price increase less  than current rate,No change in prices,Price increase less  than current rate,Decline in price,No change in prices,6-7,,5-6,,4-5,,Tier 1,Homemaker,6.0,5-10
4281,39,Mar-2015,Mumbai,400073,Male,50 to 55 years,Self-Employed,Price increase similar  to current rate,Price increase similar  to current rate,Price increase less  than current rate,No change in prices,Price increase more than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase similar  to current rate,7-8,,7-8,,7-8,,Tier 1,Employed,7.0,5-10
4282,39,Mar-2015,Mumbai,400073,Male,Up to 25 years,Financial sector employees,Price increase more than current rate,Price increase more than current rate,Price increase less  than current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase less  than current rate,Price increase less  than current rate,Price increase similar  to current rate,Price increase less  than current rate,Price increase less  than current rate,Price increase more than current rate,Price increase similar  to current rate,9-10,,10-11,,9-10,,Tier 1,Employed,9.0,5-10
4283,39,Mar-2015,Mumbai,400073,Female,Up to 25 years,Homemaker,Price increase similar  to current rate,Price increase more than current rate,No change in prices,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,No change in prices,No change in prices,No change in prices,Price increase similar  to current rate,Price increase more than current rate,Price increase similar  to current rate,7-8,,8-9,,5-6,,Tier 1,Homemaker,7.0,5-10
4284,39,Mar-2015,Mumbai,400073,Female,25 to 30 years,Homemaker,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase similar  to current rate,5-6,,7-8,,9-10,,Tier 1,Homemaker,5.0,5-10
4285,39,Mar-2015,Mumbai,400073,Female,25 to 30 years,Other employees,Price increase more than current rate,Price increase similar  to current rate,Price increase similar  to current rate,No change in prices,Price increase more than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,No change in prices,Price increase more than current rate,Price increase similar  to current rate,9-10,,12-13,,9-10,,Tier 1,Others,9.0,5-10
4286,39,Mar-2015,Mumbai,400073,Male,30 to 35 years,Self-Employed,No change in prices,No change in prices,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,4-5,,4-5,,7-8,,Tier 1,Employed,4.0,0-5
4287,39,Mar-2015,Mumbai,400073,Male,30 to 35 years,Self-Employed,No change in prices,Price increase less  than current rate,Price increase less  than current rate,Price increase similar  to current rate,Price increase less  than current rate,Price increase similar  to current rate,Price increase less  than current rate,Price increase similar  to current rate,No change in prices,Price increase more than current rate,Price increase similar  to current rate,Price increase less  than current rate,7-8,,6-7,,7-8,,Tier 1,Employed,7.0,5-10
4288,39,Mar-2015,Mumbai,400073,Female,35 to 40 years,Homemaker,No change in prices,Price increase more than current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase similar  to current rate,10-11,,9-10,,10-11,,Tier 1,Homemaker,10.0,10-15
4289,39,Mar-2015,Mumbai,400073,Female,40 to 45 years,Homemaker,Price increase less  than current rate,No change in prices,Decline in price,Price increase similar  to current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase more than current rate,9-10,,8-9,,4-5,,Tier 1,Homemaker,9.0,5-10
4290,39,Mar-2015,Mumbai,400073,Male,Up to 25 years,Self-Employed,No change in prices,No change in prices,Decline in price,Price increase more than current rate,Price increase more than current rate,Price increase less  than current rate,Price increase less  than current rate,No change in prices,No change in prices,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,8-9,,7-8,,9-10,,Tier 1,Employed,8.0,5-10
4291,39,Mar-2015,Mumbai,400073,Male,45 to 50 years,Other employees,Decline in price,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,No change in prices,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase similar  to current rate,10-11,,9-10,,10-11,,Tier 1,Others,10.0,10-15
4292,39,Mar-2015,Mumbai,400073,Female,60 years and above,Homemaker,Decline in price,Price increase similar  to current rate,Price increase similar  to current rate,Decline in price,Price increase similar  to current rate,No change in prices,Decline in price,Price increase similar  to current rate,Price increase less  than current rate,Decline in price,Price increase more than current rate,Price increase similar  to current rate,7-8,,6-7,,5-6,,Tier 1,Homemaker,7.0,5-10
4293,39,Mar-2015,Mumbai,400073,Female,25 to 30 years,Homemaker,Price increase more than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Decline in price,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase less  than current rate,Decline in price,Decline in price,Price increase similar  to current rate,Price increase more than current rate,10-11,,12-13,,9-10,,Tier 1,Homemaker,10.0,10-15
4294,39,Mar-2015,Mumbai,400073,Female,Up to 25 years,Financial sector employees,Price increase more than current rate,Price increase similar  to current rate,Price increase more than current rate,Decline in price,Price increase more than current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Decline in price,Price increase similar  to current rate,Price increase more than current rate,6-7,,9-10,,5-6,,Tier 1,Employed,6.0,5-10
4295,39,Mar-2015,Mumbai,400073,Female,25 to 30 years,Homemaker,No change in prices,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase less  than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase less  than current rate,Price increase more than current rate,Price increase similar  to current rate,6-7,,5-6,,5-6,,Tier 1,Homemaker,6.0,5-10
4296,39,Mar-2015,Mumbai,400073,Female,25 to 30 years,Homemaker,No change in prices,Decline in price,Decline in price,Price increase similar  to current rate,Price increase more than current rate,No change in prices,Price increase similar  to current rate,Price increase less  than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase similar  to current rate,7-8,,6-7,,5-6,,Tier 1,Homemaker,7.0,5-10
4297,39,Mar-2015,Mumbai,400073,Female,Up to 25 years,Other category,Price increase more than current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase similar  to current rate,9-10,,12-13,,14-15,,Tier 1,Others,9.0,5-10
4298,39,Mar-2015,Mumbai,400073,Male,45 to 50 years,Self-Employed,No change in prices,Price increase less  than current rate,Price increase less  than current rate,Price increase less  than current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase similar  to current rate,6-7,,6-7,,5-6,,Tier 1,Employed,6.0,5-10
4299,39,Mar-2015,Mumbai,400075,Female,40 to 45 years,Homemaker,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,No change in prices,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase more than current rate,Price increase less  than current rate,13-14,,14-15,,13-14,,Tier 1,Homemaker,13.0,10-15
4300,39,Mar-2015,Mumbai,400075,Male,Up to 25 years,Other category,No change in prices,Price increase more than current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase less  than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase more than current rate,6-7,,6-7,,4-5,,Tier 1,Others,6.0,5-10
4301,39,Mar-2015,Mumbai,400075,Female,40 to 45 years,Homemaker,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase more than current rate,5-6,,8-9,,4-5,,Tier 1,Homemaker,5.0,5-10
4302,39,Mar-2015,Mumbai,400075,Female,35 to 40 years,Homemaker,Price increase more than current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase similar  to current rate,Decline in price,Decline in price,Decline in price,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,5-6,,15-16,,4-5,,Tier 1,Homemaker,5.0,5-10
4303,39,Mar-2015,Mumbai,400075,Male,35 to 40 years,Self-Employed,No change in prices,No change in prices,No change in prices,No change in prices,No change in prices,Price increase less  than current rate,Decline in price,Decline in price,Decline in price,Decline in price,No change in prices,No change in prices,14-15,,13-14,,4-5,,Tier 1,Employed,14.0,10-15
4304,39,Mar-2015,Mumbai,400075,Male,Up to 25 years,Financial sector employees,Price increase more than current rate,Price increase more than current rate,Price increase less  than current rate,No change in prices,Price increase similar  to current rate,No change in prices,Price increase more than current rate,Price increase more than current rate,No change in prices,No change in prices,Price increase more than current rate,Price increase less  than current rate,7-8,,10-11,,10-11,,Tier 1,Employed,7.0,5-10
4305,39,Mar-2015,Mumbai,400075,Female,35 to 40 years,Homemaker,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,5-6,,7-8,,4-5,,Tier 1,Homemaker,5.0,5-10
4306,39,Mar-2015,Mumbai,400075,Female,40 to 45 years,Homemaker,Price increase more than current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar  to current rate,5-6,,7-8,,7-8,,Tier 1,Homemaker,5.0,5-10
4307,39,Mar-2015,Mumbai,400075,Male,40 to 45 years,Retired persons,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,9-10,,9-10,,9-10,,Tier 1,Retired,9.0,5-10
4308,39,Mar-2015,Mumbai,400075,Female,35 to 40 years,Homemaker,No change in prices,No change in prices,No change in prices,Price increase less  than current rate,Price increase more than current rate,No change in prices,Price increase more than current rate,Price increase more than current rate,Price increase less  than current rate,No change in prices,Price increase similar  to current rate,Price increase less  than current rate,8-9,,7-8,,>16,21.0,Tier 1,Homemaker,8.0,5-10
4309,39,Mar-2015,Mumbai,400075,Female,25 to 30 years,Homemaker,Price increase more than current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase more than current rate,5-6,,7-8,,5-6,,Tier 1,Homemaker,5.0,5-10
4310,39,Mar-2015,Mumbai,400075,Male,40 to 45 years,Other employees,Price increase similar  to current rate,Price increase similar  to current rate,Price increase less  than current rate,Price increase similar  to current rate,Price increase more than current rate,No change in prices,Price increase less  than current rate,Price increase less  than current rate,Price increase less  than current rate,Price increase less  than current rate,Price increase more than current rate,No change in prices,3-4,,2-3,,2-3,,Tier 1,Others,3.0,0-5
4311,39,Mar-2015,Mumbai,400075,Female,Up to 25 years,Self-Employed,Price increase more than current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,5-6,,7-8,,5-6,,Tier 1,Employed,5.0,5-10
4312,39,Mar-2015,Mumbai,400075,Female,Up to 25 years,Homemaker,Price increase similar  to current rate,No change in prices,Price increase more than current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar  to current rate,No change in prices,Price increase similar  to current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar  to current rate,6-7,,8-9,,10-11,,Tier 1,Homemaker,6.0,5-10
4313,39,Mar-2015,Mumbai,400075,Female,50 to 55 years,Homemaker,Price increase more than current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,10-11,,10-11,,14-15,,Tier 1,Homemaker,10.0,10-15
4314,39,Mar-2015,Mumbai,400075,Male,50 to 55 years,Self-Employed,No change in prices,No change in prices,No change in prices,Price increase less  than current rate,Price increase more than current rate,Price increase more than current rate,Decline in price,Decline in price,No change in prices,No change in prices,Price increase more than current rate,Price increase less  than current rate,3-4,,2-3,,1-2,,Tier 1,Employed,3.0,0-5
4315,39,Mar-2015,Mumbai,400075,Male,45 to 50 years,Financial sector employees,No change in prices,Price increase similar  to current rate,No change in prices,No change in prices,Price increase more than current rate,Price increase less  than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase less  than current rate,9-10,,8-9,,9-10,,Tier 1,Employed,9.0,5-10
4316,39,Mar-2015,Mumbai,400075,Male,55 to 60 years,Retired persons,Price increase more than current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,10-11,,11-12,,11-12,,Tier 1,Retired,10.0,10-15
4317,39,Mar-2015,Mumbai,400075,Female,45 to 50 years,Homemaker,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,5-6,,6-7,,5-6,,Tier 1,Homemaker,5.0,5-10
4318,39,Mar-2015,Mumbai,400075,Female,30 to 35 years,Homemaker,Price increase more than current rate,Price increase more than current rate,No change in prices,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,No change in prices,9-10,,14-15,,9-10,,Tier 1,Homemaker,9.0,5-10
4319,39,Mar-2015,Mumbai,400077,Male,60 years and above,Retired persons,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,4-5,,1-2,,4-5,,Tier 1,Retired,4.0,0-5
4320,39,Mar-2015,Mumbai,400077,Male,45 to 50 years,Financial sector employees,Price increase similar  to current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase less  than current rate,Price increase more than current rate,Price increase less  than current rate,Price increase more than current rate,Price increase more than current rate,Price increase less  than current rate,8-9,,1-2,,9-10,,Tier 1,Employed,8.0,5-10
4321,39,Mar-2015,Mumbai,400077,Male,40 to 45 years,Financial sector employees,Decline in price,Decline in price,No change in prices,Price increase similar  to current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase less  than current rate,Price increase less  than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase similar  to current rate,10-11,,4-5,,4-5,,Tier 1,Employed,10.0,10-15
4322,39,Mar-2015,Mumbai,400077,Female,25 to 30 years,Financial sector employees,Price increase similar  to current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,No change in prices,Price increase more than current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase similar  to current rate,5-6,,<1,,7-8,,Tier 1,Employed,5.0,5-10
4323,39,Mar-2015,Mumbai,400077,Female,55 to 60 years,Other employees,Price increase more than current rate,Price increase similar  to current rate,Price increase less  than current rate,Price increase similar  to current rate,Price increase more than current rate,No change in prices,Decline in price,Price increase less  than current rate,Price increase less  than current rate,Price increase less  than current rate,Price increase more than current rate,No change in prices,9-10,,10-11,,8-9,,Tier 1,Others,9.0,5-10
4324,39,Mar-2015,Mumbai,400077,Male,35 to 40 years,Other employees,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,No change in prices,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,9-10,,10-11,,10-11,,Tier 1,Others,9.0,5-10
4325,39,Mar-2015,Mumbai,400077,Female,30 to 35 years,Self-Employed,Price increase more than current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase more than current rate,No change in prices,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase less  than current rate,6-7,,6-7,,7-8,,Tier 1,Employed,6.0,5-10
4326,39,Mar-2015,Mumbai,400077,Male,30 to 35 years,Self-Employed,No change in prices,Price increase similar  to current rate,Price increase less  than current rate,Price increase more than current rate,Price increase more than current rate,No change in prices,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase less  than current rate,4-5,,4-5,,9-10,,Tier 1,Employed,4.0,0-5
4327,39,Mar-2015,Mumbai,400077,Male,35 to 40 years,Financial sector employees,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase less  than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase less  than current rate,14-15,,1-2,,14-15,,Tier 1,Employed,14.0,10-15
4328,39,Mar-2015,Mumbai,400077,Male,35 to 40 years,Other employees,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,No change in prices,Price increase similar  to current rate,Price increase similar  to current rate,Price increase less  than current rate,Price increase more than current rate,Price increase more than current rate,No change in prices,9-10,,10-11,,9-10,,Tier 1,Others,9.0,5-10
4329,39,Mar-2015,Mumbai,400077,Male,40 to 45 years,Daily workers,No change in prices,No change in prices,No change in prices,No change in prices,No change in prices,No change in prices,No change in prices,No change in prices,Price increase less  than current rate,No change in prices,No change in prices,No change in prices,6-7,,5-6,,4-5,,Tier 1,Unorganized Workers,6.0,5-10
4330,39,Mar-2015,Mumbai,400077,Male,60 years and above,Retired persons,Price increase less  than current rate,Price increase less  than current rate,Price increase less  than current rate,No change in prices,No change in prices,Price increase less  than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase less  than current rate,Price increase similar  to current rate,Price increase similar  to current rate,6-7,,5-6,,5-6,,Tier 1,Retired,6.0,5-10
4331,39,Mar-2015,Mumbai,400077,Female,30 to 35 years,Homemaker,Price increase similar  to current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase less  than current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase more than current rate,9-10,,5-6,,10-11,,Tier 1,Homemaker,9.0,5-10
4332,39,Mar-2015,Mumbai,400077,Male,25 to 30 years,Other employees,Price increase less  than current rate,Price increase less  than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,No change in prices,Price increase less  than current rate,Price increase less  than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,No change in prices,7-8,,4-5,,1-2,,Tier 1,Others,7.0,5-10
4333,39,Mar-2015,Mumbai,400077,Male,Up to 25 years,Other employees,Price increase less  than current rate,Price increase more than current rate,Price increase less  than current rate,Price increase more than current rate,Price increase more than current rate,Price increase less  than current rate,Price increase less  than current rate,Price increase more than current rate,Price increase less  than current rate,Price increase more than current rate,Price increase more than current rate,Price increase less  than current rate,4-5,,3-4,,4-5,,Tier 1,Others,4.0,0-5
4334,39,Mar-2015,Mumbai,400077,Male,30 to 35 years,Other employees,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase less  than current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar  to current rate,5-6,,5-6,,4-5,,Tier 1,Others,5.0,5-10
4335,39,Mar-2015,Mumbai,400077,Female,45 to 50 years,Homemaker,Price increase similar  to current rate,Price increase less  than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,No change in prices,Price increase more than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase less  than current rate,14-15,,2-3,,14-15,,Tier 1,Homemaker,14.0,10-15
4336,39,Mar-2015,Mumbai,400077,Female,30 to 35 years,Homemaker,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,No change in prices,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase more than current rate,No change in prices,15-16,,15-16,,15-16,,Tier 1,Homemaker,15.0,15-20
4337,39,Mar-2015,Mumbai,400077,Male,25 to 30 years,Other employees,No change in prices,Price increase more than current rate,No change in prices,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase more than current rate,4-5,,2-3,,4-5,,Tier 1,Others,4.0,0-5
4338,39,Mar-2015,Mumbai,400077,Female,45 to 50 years,Homemaker,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,No change in prices,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase less  than current rate,4-5,,1-2,,4-5,,Tier 1,Homemaker,4.0,0-5
4339,39,Mar-2015,Mumbai,400077,Male,Up to 25 years,Other employees,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,No change in prices,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase less  than current rate,4-5,,7-8,,5-6,,Tier 1,Others,4.0,0-5
4340,39,Mar-2015,Mumbai,400077,Female,25 to 30 years,Homemaker,Price increase similar  to current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase similar  to current rate,No change in prices,No change in prices,No change in prices,No change in prices,Price increase more than current rate,Price increase less  than current rate,9-10,,14-15,,4-5,,Tier 1,Homemaker,9.0,5-10
4341,39,Mar-2015,Mumbai,400077,Male,30 to 35 years,Daily workers,Price increase less  than current rate,Price increase less  than current rate,Price increase similar  to current rate,Price increase less  than current rate,Price increase less  than current rate,Price increase similar  to current rate,Price increase less  than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,11-12,,9-10,,11-12,,Tier 1,Unorganized Workers,11.0,10-15
4342,39,Mar-2015,Mumbai,400077,Male,55 to 60 years,Daily workers,Decline in price,Decline in price,Decline in price,No change in prices,Price increase more than current rate,Price increase less  than current rate,No change in prices,No change in prices,Price increase less  than current rate,No change in prices,Price increase more than current rate,Price increase less  than current rate,7-8,,4-5,,4-5,,Tier 1,Unorganized Workers,7.0,5-10
4343,39,Mar-2015,Mumbai,400078,Male,40 to 45 years,Self-Employed,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Decline in price,10-11,,12-13,,10-11,,Tier 1,Employed,10.0,10-15
4344,39,Mar-2015,Mumbai,400078,Male,Up to 25 years,Financial sector employees,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,7-8,,9-10,,7-8,,Tier 1,Employed,7.0,5-10
4345,39,Mar-2015,Mumbai,400078,Male,30 to 35 years,Self-Employed,Price increase more than current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Decline in price,No change in prices,Price increase more than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,8-9,,8-9,,8-9,,Tier 1,Employed,8.0,5-10
4346,39,Mar-2015,Mumbai,400078,Male,30 to 35 years,Daily workers,Price increase less  than current rate,Price increase more than current rate,No change in prices,No change in prices,Decline in price,Decline in price,No change in prices,Price increase less  than current rate,No change in prices,No change in prices,Decline in price,No change in prices,7-8,,6-7,,5-6,,Tier 1,Unorganized Workers,7.0,5-10
4347,39,Mar-2015,Mumbai,400078,Male,30 to 35 years,Self-Employed,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase more than current rate,15-16,,15-16,,15-16,,Tier 1,Employed,15.0,15-20
4348,39,Mar-2015,Mumbai,400078,Male,Up to 25 years,Self-Employed,Price increase similar  to current rate,Price increase less  than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase more than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase less  than current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,10-11,,12-13,,9-10,,Tier 1,Employed,10.0,10-15
4349,39,Mar-2015,Mumbai,400078,Male,35 to 40 years,Self-Employed,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,Price increase similar  to current rate,8-9,,9-10,,8-9,,Tier 1,Employed,8.0,5-10
